Date,Month,Year,Played For,Played Against,Score,How Out,Position,Match Result,Innings,Match Format
01/05/2005,May,2005,Forfarshire U-15,Aberdeenshire U-15 (Cup),0,DNB,DNB,Won,1,20
04/05/2005,May,2005,Forfarshire U-15,Arbroath U-15,0,DNB,DNB,Abandoned,2,20
05/05/2005,May,2005,Forfarshre U-13,Aberdeenshire U-13 (Cup),29,Not Out,3,Won,1,20
12/05/2005,May,2005,Forfarshire U-15,Strathmore U-15,1,Run Out,5,Won,1,20
16/05/2005,May,2005,Forfarshre U-13,Dundee High U-13,30,Not Out,2,Won,1,20
17/05/2005,May,2005,Forfarshre U-13,Arbroath U-13 (Cup),1,Run Out,1,Won,1,20
29/05/2005,May,2005,Forthill XI,ForthillXI/Rossie XI friendly,2,Caught,8,Lost,2,45
08/06/2005,June,2005,Forfarshire U-15,Arbroath U15 (Cup),12,Caught,4,Lost,2,20
09/06/2005,June,2005,Forfarshre U-13,Meigle U13 (Cup),22,Caught,3,Won,1,20
13/06/2005,June,2005,Forfarshre U-13,Rossie U13,30,Not Out,1,Won,2,20
22/06/2005,June,2005,Forfarshire U-15,Arbroath U15 ,0,DNB,DNB,Lost,2,20
23/06/2005,June,2005,Forfarshre U-13,Dundee High U-13,32,Not Out,2,Won,1,20
26/06/2005,June,2005,Forfarshre U-13,Carlton U-13 (Semi final),26,Caught,2,Won,1,20
26/06/2005,June,2005,Forfarshre U-13,Watsonians U-13 (finals cup),14,Caught,2,Lost,2,20
28/06/2005,June,2005,Forfarshre U-13,Arbroath U-13,28,Not Out,3,Won,2,20
05/07/2005,July,2005,Central U-12,North,7,Not Out,1,Won,2,45
07/07/2006,July,2005,Central U-12,West,16,Caught,5,Won,1,45
09/07/2005,July,2005,Central U-12,East,16,Bowled,1,Won,1,45
12/07/2005,July,2005,Scotland U-12,Northumberland,0,Bowled,5,Won,1,45
17/07/2005,July,2005,Scotland U-12,West U-14,20,Run Out,7,Lost,2,45
01/08/2005,August,2005,Scotland U-12,Durham,1,Bowled,5,Lost,2,45
02/08/2005,August,2005,Scotland U-12,London Schools,5,Bowled,2,Lost,1,45
03/08/2005,August,2005,Scotland U-12,Yorkshire,5,Bowled,1,Lost,2,45
04/08/2005,August,2005,Scotland U-12,Wales,0,Bowled,3,Lost,2,45
06/05/2006,,2006,The High School of Dundee,Robert Gordon School,75,Not Out,2,Won,1,20
09/05/2006,,2006,Forfarshire U-13 (Cup),Arbroath United,32,Not Out,1,Lost,2,20
11/05/2006,,2006,Forfarshire U-15 (Cup),Strathmore,39,Run Out,3,Lost,2,20
14/05/2006,,2006,Forthill XI,Brechin,0,DNB,DNB,Won,2,45
18/05/2006,,2006,Forfarshire U-15 ,Rossie Priory,30,Not Out,2,Won,1,20
21/05/2006,,2006,Forthill XI,Perth Northern,0,DNB,DNB,Won,1,45
23/05/2006,,2006,Forfarshire U-13,Rossie Priory,11,Caught,1,Lost,2,20
24/05/2006,,2006,Forfarshire U-15,Montrose,14,Hit Wicket,2,Won,1,20
28/05/2006,,2006,Forthill XI,Breadalbane,16,Run Out,5,Won,1,45
29/05/2006,,2006,Forfarshire U-15,Arbroath United,26,Caught,2,Lost,2,20
04/06/2006,,2006,Central - U14,Scotland U-13,11,Run Out,2,Won,1,45
11/06/2006,,2006,Scotland U-13,Durham,1,Bowled,2,Lost,2,45
14/06/2006,,2006,Forfarshire U-13,Dundee High U-13,33,Not Out,1,Lost,1,20
15/06/2006,,2006,Forfarshire U-15 ,Strathmore,5,Caught,1,Lost,1,20
18/06/2006,,2006,Scotland U-13,East U-14,17,Caught,3,Lost,2,45
24/06/2006,,2006,Forthill XI,Perth Northern,12,Not Out,8,Lost,1,45
28/06/2006,,2006,Forfarshire U-13,Arbroath United,33,Not Out,1,Lost,1,20
29/06/2006,,2006,Forfarshire U-15 ,Rossie Priory,21,Bowled,3,Won,1,20
04/07/2006,,2006,Central U-14,South U-14,0,DNB,DNB,Won,2,45
06/07/2006,,2006,Central U-14,East U-14,2,Bowled,7,Lost,2,45
07/07/2006,,2006,Central U-14,West U14,4,Bowled,1,Won,2,45
09/07/2006,,2006,Forthill XI,Rossie Priory,1,Not Out,11,Won,1,45
12/07/2006,,2006,Forfarshire U-13,Strathmore,1,Caught,5,Lost,1,20
13/07/2006,,2006,Forfarshire U-15 ,Montrose,20,Caught,2,Won,1,20
16/07/2006,,2006,Forfarshire U-13,Largo U-13,30,Not Out,1,Lost,1,20
17/07/2006,,2006,Scotland U-13,Guernsey,0,DNB,DNB,Won,2,45
19/07/2006,,2006,Scotland U-13,Northumberland,16,Caught,2,Won,1,45
25/07/2006,,2006,Scotland U-13,Denmark,29,Stumped,4,Won,1,45
26/07/2006,,2006,Scotland U-13,Holland,1,LBW,4,Lost,1,45
04/08/2006,,2006,Forfarshire U-16,Perth and Kinross U-16,10,Caught,3,Lost,2,45
08/08/2006,,2006,Forfarshire U-17,Dundee High U-17,4,Not Out,7,Won,1,20
10/08/2006,,2006,Forfarshire U-13,Dundee High U-13,1,Run Out,1,Won,1,20
16/08/2006,,2006,Forfarshire U-13,Brechin U-13,30,Not Out,1,Won,1,20
17/08/2006,,2006,Forfarshire U-15 ,Arbroath United,8,Caught,2,Lost,2,20
28/04/2007,,2007,The High School of Dundee,Robert Gordon School,69,Caught,2,Won,1,20
29/04/2007,,2007,Forthill XI,Perth Northern,8,Not Out,8,Lost,1,45
10/05/2007,,2007,Forfarshire U-15,Montrose U-15,17,Caught,1,Won,1,20
11/05/2007,,2007,Forfarshire U-15,Strathmore U-15,36,Bowled,1,Won,1,20
16/05/2007,,2007,Forfarshire U-15,Arbroath U-15,23,Caught,1,Won,1,20
22/05/2007,,2007,Forfarshire U-15,Perth Strathern,1,Caught,3,Lost,1,20
23/05/2007,,2007,Forfarshire U-15,Strathmore U-15,1,Not Out,3,Won,2,20
27/05/2007,,2007,Central District U-14,Scotland U-12,12,Bowled,4,Won,1,45
31/05/2007,,2007,Forfarshire U-15,Rossie Priory U-15,10,Caught,1,Won,1,20
03-Jun,,2007,Forthill XI,Mayfield,0,DNB,DNB,Won,2,45
09/06/2007,,2007,The High School of Dundee,George Heriots,26,Run Out,2,Won,1,20
10/06/2007,,2007,Forthill XI,Arbroath XI,0,DNB,DNB,Won,2,45
17/06/2007,,2007,Forthill XI,Arbroath XI,5,Bowled,3,Won,2,45
21/06/2007,,2007,Forthill XI,Brechin,0,DNB,DNB,Won,1,20
26/06/2007,,2007,Forfarshire U-15,Montrose U-15,14,Caught,2,Won,1,20
30/06/2007,,2007,Forthill ,Huntly,5,Bowled,9,Lost,1,45
04/07/2007,,2007,Central District U-14,South District U-14,0,DNB,DNB,Won,2,45
05/07/2007,,2007,Central District U-14,North District U-14,11,Caught,5,Won,1,45
08/07/2007,,2007,Forthill XI,Kinloch,0,DNB,DNB,Won,2,45
11/07/2007,,2007,Forthill XI,Dundee University Staff,19,Stumped,1,Won,1,20
12/07/2007,,2007,Forfarshire U-15,Strathmore U-15,10,Not Out,1,Won,2,20
14/07/2007,,2007,Forthill,Mannofield,3,Not Out,7,Lost,2,45
15/07/2007,,2007,Forthill XI,Cupar,1,Bowled,2,Lost,1,45
17/07/2007,,2007,Forthill XI,St. Andrews University,29,Caught,5,Lost,1,20
24/07/2007,,2007,Forthill XI ,Strathern,0,DNB,DNB,Lost,2,45
25/07/2007,,2007,Forfarshire U-15,Meigle U-!5,30,Not Out,2,Won,2,20
28/07/2007,,2007,Forthill XI,Strathern,10,Bowled,1,Lost,2,45
29/07/2007,,2007,Forthill XI,DHSFP,9,Caught,9,Lost,2,45
31/07/2007,,2007,Forfarshire U-17,Strathmore U-17,24,Not Out,3,Won,2,20
05/08/2007,,2007,Forthill XI,Norwood,0,DNB,DNB,Abandoned,2,45
09/08/2007,,2007,Forfarshire U-15,DHSFP U-15,30,Not Out,2,Won,1,20
08/08/2007,,2007,Forfarshire U-17,Montrose U-17,14,Caught ,5,Won,1,20
14/08/2007,,2007,Forfarshire U-17,Arbroath U-17,0,Caught,6,Lost,1,20
19/08/2007,,2007,Forthill XI,Coupar Angus,4,Bowled,1,Lost,2,45
20/08/2007,,2007,Forthill XI,Mayfield,0,DNB,DNB,Won,2,45
03/05/2008,,2008,Forthill,Meigle,0,DNB,DNB,Won,1,45
04/05/2008,,2008,Forthill XI,Strathearn,0,Bowled,8,Lost,2,45
07/05/2008,,2008,Forfarshire U-15,Strathmore U-15,23,Bowled,2,Won,1,20
08/05/2008,,2008,Forfarshire U-15,Largo U-15,30,Not Out,2,Lost,1,20
11/05/2008,,2008,Forthill XI,St Modans,17,Caught,2,Won,1,45
25/05/2008,,2008,Forthill XI,Northern,9,Bowled,2,Won,1,45
02/06/2008,,2008,High School Of Dundee,Lathallan,21,Caught,2,Won,1,20
29/05/2008,,2008,Forthill XI,Strathmore ,0,DNB,DNB,Won,1,45
04/06/2008,,2008,Forfarshire U-15,Strathmore U-15,20,Caught,2,Lost,2,20
07/06/2008,,2008,Forfarshire U-15,Huntly U-15,25,Bowled,2,Won,1,20
08/06/2008,,2008,Forthill XI,Breadalbane,0,DNB,DNB,Won,1,45
09/06/2008,,2008,Forfarshire U-17,Largo U-17,31,Not Out,1,Won,1,20
11/06/2008,,2008,Caledonia,Dollar,3,Caught,2,Tie,1,45
15/06/2008,,2008,Forthill XI,Kinloch,0,DNB,DNB,Won,2,
18/06/2008,,2008,Forfarshire U-15,Rossie Priory U-15,30,Not Out,2,Won,1,
21/06/2008,,2008,Forthill XI,Stoneywood,2,Caught,11,Lost,1,
06/07/2008,,2008,Forthill XI,DHSFP XI,1,Caught,7,Lost,2,
07/07/2008,,2008,Forfarshire U-15,Largo U-15,12,Caught,2,Lost,2,
08/07/2008,,2008,Dundee U-15,Fife U-15,56,Caught,2,Lost,1,
09/07/2008,,2008,Dundee U-15,Perth&Kinross U-15,13,Caught,2,Lost,2,
13/07/2008,,2008,Forthill XI,St Modans,4,Bowled,8,Lost,2,
20/07/2008,,2008,Forthill XI,DHSFP XI,26,Stumped,2,Won,2,
24/07/2008,,2008,Forfarshire U-17,Largo U-17,31,Not Out,2,Won,1,
30/07/2008,,2008,Forthill XI,Dundee University,20,Not Out,1,Won,2,
03/08/2008,,2008,Forthill XI,Kinloch,7,Bowled,2,Abandoned,2,
05/08/2008,,2008,Caledonia,West,2,Bowled,4,Won,2,
16/08/2008,,2008,Forthill XI,Strathearn,2,Caught,1,Lost,1,
24/08/2008,,2008,Forthill XI,Stoneywood,1,Bowled,10,Lost,1,
18/04/2009,,2009,Forthill,Kinloch,9,Bowled,4,Won,1,
25/04/2009,,2009,High School of Dundee,Robert Gordons,0,Bowled,2,Won,2,
26/04/2009,,2009,Forfarshire,DHSFP,9,Caught,9,Won,1,
09/05/2009,,2009,High School of Dundee,George Heriots,5,Bowled,2,Abandoned,2,
17/05/2009,,2009,Forthill XI,Kinloch,30,Caught,2,Lost,2,
31/05/2009,,2009,Forthill XI,Dalnacraig,0,DNB,DNB,Won,2,
10/06/2009,,2009,Caledonia,Dollar Academy,20,Bowled,3,Lost,1,
13/06/2009,,2009,Forthill,Strathmore,21,Caught,4,Lost,1,
27/06/2009,,2009,Forthill,Arbroath XI,6,Caught,4,Won,1,
29/06/2009,,2009,Caledonia,Stewart Melville,7,Caught,2,Won,2,
01/07/2009,,2009,Caledonia,Strathallan,20,Caught,2,Won,1,
04/07/2009,,2009,Forthill,Meigle ,0,LBW,4,Won,2,
11/07/2009,,2009,Forthill,Mannofield,0,Bowled,2,Lost,1,
16/07/2009,,2009,Forfarshire U-17,Strathmore U-17,52,Not Out,1,Won,1,
07/08/2009,,2009,Forfarshire U-17,Strathmore U-17,9,Bowled,2,Lost,1,
12/08/2009,,2009,Caledonia,Northumberland,1,Stumped,6,Lost,1,
16/08/2009,,2009,Forfarshire U-17,Coupar Angus,32,Caught,1,Won,1,
30/08/2009,,2009,Forthill XI,Northern,5,Not Out,8,Won,1,
17/04/2010,,2010,Forthill,Kinloch,43,Stumped,7,Won,1,
18/04/2010,,2010,Forfarshire,DHSFP,1,Not Out,9,Won,1,
08/05/2010,,2010,HSD 1st XI,George Heriots,4,Caught,3,Won,2,
12/05/2010,,2010,Forthill XI,Arbroath XI,32,Caught,3,Lost,2,
15/05/2010,,2010,HSD 1st XI,Morrisons Academy,66,Not Out,2,Won,1,
30/05/2010,,2010,HSD 1st XI,George Watsons,8,Caught,2,Lost,2,
10/06/2010,,2010,Forfarshire U-18,Brechin U-18,24,Caught,2,Won,2,
12/06/2010,,2010,Forthill,Strathearn,10,Bowled,7,Lost,1,
19/06/2010,,2010,Forthill XI,Cupar,12,Caught,2,Lost,2,
23/06/2010,,2010,Forfarshire U-18,XL Club,60,Not Out,3,Won,2,
25/06/2010,,2010,Forfarshire U-18,Falkland U-18,29,Bowled,3,Won,1,
26/06/2010,,2010,Forthill,Stoneywood Dyce,7,Not Out,9,Won,1,
29/06/2010,,2010,Forfarshire U-18,Strathmore U-18,39,Not Out,2,Won,2,
03/07/2010,,2010,Forthill,Strathmore,4,Bowled,3,Lost,2,
07/07/2010,,2010,Forthill XI,St.Andrews University,1,Bowled,2,Won,1,
08/07/2010,,2010,Forfarshire U-18,Strathmore U-18,22,Caught,2,Won,1,
11/07/2010,,2010,Caledonia U-16,Arbroath ,21,Run Out,3,Lost,2,
17/07/2010,,2010,Forthill,Rossie Priory,7,Caught,2,Won,1,
23/07/2010,,2010,Forfarshire U-18,Aberdeenshire U-18,31,Caught,2,Won,1,
24/07/2010,,2010,Forthill,Arbroath XI,11,Caught,2,Lost,2,
25/07/2010,,2010,Forthill XI,Breadalbane,54,Caught,7,Lost,2,
31/07/2010,,2010,Forthill,Mannofield,14,Caught,5,Lost,1,
01/08/2010,,2010,Forthill XI,St.Modans,0,DNB,DNB,Abandoned,Nil,
04/08/2010,,2010,Forthill XI,St.Andrews University,30,Not Out,8,Lost,1,
06/08/2010,,2010,Forfarshire U-18,Arbroath U-18,9,Bowled,3,Lost,1,
07/08/2010,,2010,Forthill,DHSFP,31,Caught,2,Lost,1,
08/08/2010,,2010,Forthill XI,Coupar Angus,58,Not Out,4,Lost,1,
14/08/2010,,2010,Forthill,Strathearn,0,DNB,DNB,Won,Nil,
15/08/2010,,2010,Forthill XI,Kinross,48,Caught,4,Lost,2,
21/08/2010,,2010,Forthill,Meigle,14,Stumped,9,Lost,1,
29/08/2010,,2010,Forthill XI,Dalnacraig,22,LBW,3,Lost,1,
05/09/2010,,2010,Forthill XI,Largo,39,Not Out,1,Won,2,
24/04/2011,,2011,Forthill XI,Dalnacraig,17,Bowled,3,Lost,2,
01/05/2011,,2011,Forthill XI,Strathmore XI,29,Bowled,1,Won,2,
31/05/2011,,2011,Forfarshire U-18,Strathmore U-18,51,Not Out,2,Won,2,
02/06/2011,,2011,Forthill XI,Dalnacraig,43,Caught,2,Lost,2,
04/06/2011,,2011,Forthill ,Norwood,34,Caught,1,Won,2,
17/06/2011,,2011,Forfarshire U-18,Rossie Priory U-18,25,Bowled,3,Won,2,
18/06/2011,,2011,Forthill XI,Forthill ,34,Bowled,1,Abandoned,1,
20/06/2011,,2011,Forfarshire U-23's,XL Club,17,Run Out,1,Lost,1,
25/06/2011,,2011,Forfarshire,Falkland,0,DNB,8,Won,2,
25/06/2011,,2011,Forfarshire,Freuchie,4,Not Out,7,Won,2,
26/06/2011,,2011,Forfarshire U-18,Meigle XI,56,Not Out,3,Won,1,
01/07/2015,,2015,Harwell International ,Random Team 1,0,Bowled,3,Lost,2,
02/07/2015,,2015,Harwell International ,Random Team 2,0,Bowled,3,Lost,2,
03/07/2015,,2015,Oxenford 2nd XI,Radley,20,Caught,5,Lost,1,
04/07/2015,,2015,Oxenford 2nd XI,Wolvercote,7,Run Out,3,Lost,2,
05/07/2015,,2015,Harwell International,Ewleme ,80,Bowled,1,Lost,1,
01/05/2016,,2016,Harwell International,Pirates,21,Bowled,3,Won,1,
02/05/2016,,2016,Harwell International,Oxford CC,17,Caught,1,Lost,2,
03/05/2016,,2016,Harwell International,Henly,39,Caught,1,Lost,2,
04/05/2016,,2016,Harwell International,Far from MCC,35,LBW,1,Lost,2,
05/05/2016,,2016,Harwell International,Falkland,29,Run Out,3,Won,2,
06/05/2016,,2016,Harwell International,Warwick University Staff,56,Stumped,4,Lost,2,
07/05/2016,,2016,Harwell International,Brightwell-cum-Stockwell,68,Not Out,1,Lost,1,
08/05/2016,,2016,Harwell International,Bamport,29,Bowled,1,Lost,2,
09/05/2016,,2016,Harwell International,Dicot,62,Caught,1,Lost,1,
10/05/2016,,2016,Harwell International,Random Team 3,4,Bowled,1,Lost,2,
11/05/2016,,2016,Harwell International,Wantage,21,Caught,1,Lost,1,
20/04/2019,,2019,Partick 2XI ,Helensborough,29,Caught,3,Won,2,
21/04/2019,,2019,Partick 2XI ,Hillhead ,2,Caught,3,Lost,1,
28/04/2019,,2019,Hamilton Crescent ,Glasgow University 2nd XI,85,Not Out,3,Won,2,
11/05/2019,,2019,Partick 2XI,Kelbourne 2nd XI,0,LBW,3,Won,2,
14/05/2019,,2019,Partick 2XI,Hillhead,20,Caught,5,Lost,2,
19/05/2019,,2019,Hamilton Crescent ,Irvine,43,Bowled,3,Lost,2,
25/05/2019,,2019,Partick 2XI,Prestwick 2XI,27,Not Out,2,Won,2,
08/06/2019,,2019,Partick 2XI,Bothwell,6,Bowled,1,Won,1,
03/08/2019,,2019,Hamilton Crescent ,Inverclyde,20,Not Out,4,Won,2,
24/08/2019,,2019,Partick 2XI,Langloan,1,Bowled,2,Lost,2,
01/09/2019,,2019,Hamilton Crescent ,Stenhousmuir Dev XI,15,Caught,3,Lost,2,
02/08/2020,,2020,Cole XI,Sutherland XI,47,Not Out,1,Win,2,
09/08/2020,,2020,Howgate XI,Ross XI,5,Caught,5,Win,1,
15/08/2020,,2020,Partick XI,Accies XI,6,Bowled,2,Win,1,
28/08/2020,,2020,Partick 2XI,Hillhead,17,Caught,2,Lost,2,
29/09/2020,,2020,Sunday XI,Ferguslie,39,Caught,3,Won,2,